"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-02-20,7164788,0,0,0,0,0,7164788,0,0,0,0,0,7164788,0,0,0,0,0
2020-02-21,7164782,0,6,0,0,0,7164782,0,6,0,0,0,7164782,0,6,0,0,0
2020-02-22,7164780,0,8,0,0,0,7164780,0,8,0,0,0,7164780,0,8,0,0,0
2020-02-23,7164778,0,10,0,0,0,7164778,0,10,0,0,0,7164778,0,10,0,0,0
2020-02-24,7164778,0,10,0,0,0,7164778,0,10,0,0,0,7164778,0,10,0,0,0
2020-02-25,7164758,0,30,0,0,0,7164758,0,30,0,0,0,7164758,0,30,0,0,0
2020-02-26,7164754,0,34,0,0,0,7164754,0,34,0,0,0,7164754,0,34,0,0,0
2020-02-27,7164774,0,14,0,0,0,7164774,0,14,0,0,0,7164774,0,14,0,0,0
2020-02-28,7164780,0,8,0,0,0,7164780,0,8,0,0,0,7164780,0,8,0,0,0
2020-02-29,7164777,0,11,0,0,0,7164777,0,11,0,0,0,7164777,0,11,0,0,0
2020-03-01,7164700,0,13,75,0,0,7164700,0,13,75,0,0,7164700,0,13,75,0,0
2020-03-02,7164703,0,8,77,0,0,7164703,0,8,77,0,0,7164703,0,8,77,0,0
2020-03-03,7164695,0,12,81,0,0,7164695,0,12,81,0,0,7164695,0,12,81,0,0
2020-03-04,7164665,0,27,96,0,0,7164665,0,27,96,0,0,7164665,0,27,96,0,0
2020-03-05,7164605,2,55,126,0,0,7164605,2,55,126,0,0,7164605,2,55,126,0,0
2020-03-06,7164580,6,58,144,0,0,7164580,6,58,144,0,0,7164580,6,58,144,0,0
2020-03-07,7164586,10,48,144,0,0,7164586,10,48,144,0,0,7164586,10,48,144,0,0
2020-03-08,7164528,16,67,177,0,0,7164528,16,67,177,0,0,7164528,16,67,177,0,0
2020-03-09,7164470,20,84,214,0,0,7164470,20,84,214,0,0,7164470,20,84,214,0,0
2020-03-10,7164315,46,129,298,0,0,7164315,46,129,298,0,0,7164315,46,129,298,0,0
2020-03-11,7164199,54,166,369,0,0,7164199,54,166,369,0,0,7164199,54,166,369,0,0
2020-03-12,7164129,60,157,442,0,0,7164129,60,157,442,0,0,7164129,60,157,442,0,0
2020-03-13,7164043,62,161,522,0,0,7164043,62,161,522,0,0,7164043,62,161,522,0,0
