"DATA","variable","value"
2020-06-16,"MEDIA",1.67921340416848
2020-06-17,"MEDIA",1.11689868187352
2020-06-18,"MEDIA",0.902540827519869
2020-06-19,"MEDIA",0.955296108945954
2020-06-20,"MEDIA",0.884322533751363
2020-06-21,"MEDIA",0.961921250083409
2020-06-22,"MEDIA",1.04247128273687
2020-06-23,"MEDIA",0.888770324627995
2020-06-24,"MEDIA",0.742847808445457
2020-06-25,"MEDIA",0.967598744730685
2020-06-26,"MEDIA",1.20148530234554
2020-06-27,"MEDIA",1.54371763074298
2020-06-28,"MEDIA",1.56754684262362
2020-06-29,"MEDIA",1.32890815308239
2020-06-30,"MEDIA",1.17793639507268
2020-07-01,"MEDIA",0.99950252228249
2020-07-02,"MEDIA",1.18419346458274
2020-07-03,"MEDIA",1.30098474748001
2020-07-04,"MEDIA",1.19397142686727
2020-07-05,"MEDIA",1.16450109376609
2020-07-06,"MEDIA",1.50974307215763
2020-07-07,"MEDIA",1.383051242773
2020-07-08,"MEDIA",0.910090112193716
2020-07-09,"MEDIA",1.09894706188159
2020-07-10,"MEDIA",1.19656596334013
2020-07-11,"MEDIA",1.15360861115688
2020-07-12,"MEDIA",1.15517200371497
2020-07-13,"MEDIA",1.07941777347102
2020-07-14,"MEDIA",1.05424954320377
2020-07-15,"MEDIA",1.03881820502314
2020-07-16,"MEDIA",1.03230989110186
2020-07-17,"MEDIA",1.0305061208834
2020-07-18,"MEDIA",1.03062189753265
2020-07-19,"MEDIA",1.03127452548897
2020-07-20,"MEDIA",1.03189970616915
2020-07-21,"MEDIA",1.0323287570281
2020-07-22,"MEDIA",1.03255489925039
2020-07-23,"MEDIA",1.03262210474262
2020-07-24,"MEDIA",1.03257952131488
2020-07-25,"MEDIA",1.03246669650275
2020-07-26,"MEDIA",1.03231143784292
2020-07-27,"MEDIA",1.03213187318095
2020-07-28,"MEDIA",1.03193925036708
2020-07-29,"MEDIA",1.03174030405476
2020-07-30,"MEDIA",1.0315389553704
2020-07-31,"MEDIA",1.03133743280761
2020-08-01,"MEDIA",1.03113697318778
2020-08-02,"MEDIA",1.03093824425021
2020-08-03,"MEDIA",1.03074159264818
2020-08-04,"MEDIA",1.03054718649546
2020-08-05,"MEDIA",1.03035509595527
2020-08-06,"MEDIA",1.03016533818594
2020-08-07,"MEDIA",1.02997790212157
2020-08-08,"MEDIA",1.02979276199903
2020-08-09,"MEDIA",1.02960988467532
2020-08-10,"MEDIA",1.02942923355152
2020-06-16,"IC025",1.61992036600237
2020-06-17,"IC025",1.07163687879235
2020-06-18,"IC025",0.864175813608546
2020-06-19,"IC025",0.916921373446609
2020-06-20,"IC025",0.847460602400545
2020-06-21,"IC025",0.923140268445233
2020-06-22,"IC025",1.00166267383405
2020-06-23,"IC025",0.850855247234395
2020-06-24,"IC025",0.708182313938694
2020-06-25,"IC025",0.927736387677694
2020-06-26,"IC025",1.15623039827309
2020-06-27,"IC025",1.49174959973102
2020-06-28,"IC025",1.51576083620403
2020-06-29,"IC025",1.28305998838012
2020-06-30,"IC025",1.13683832073084
2020-07-01,"IC025",0.9630708600104
2020-07-02,"IC025",1.14535470326117
2020-07-03,"IC025",1.26059902825146
2020-07-04,"IC025",1.1557344682366
2020-07-05,"IC025",1.12756890796137
2020-07-06,"IC025",1.46858928837085
2020-07-07,"IC025",1.34448497184635
2020-07-08,"IC025",0.879885315270998
2020-07-09,"IC025",1.0668646828004
2020-07-10,"IC025",1.16350168815557
2020-07-11,"IC025",1.12130839181634
2020-07-12,"IC025",1.12325725501756
2020-07-13,"IC025",1.04907489663143
2020-07-14,"IC025",1.02471815605664
2020-07-15,"IC025",1.00982048114027
2020-07-16,"IC025",1.00359356165637
2020-07-17,"IC025",1.00193848536553
2020-07-18,"IC025",1.00214856979122
2020-07-19,"IC025",1.00287975182742
2020-07-20,"IC025",1.00358338355459
2020-07-21,"IC025",1.00409540276962
2020-07-22,"IC025",1.00440917627772
2020-07-23,"IC025",1.00456744107978
2020-07-24,"IC025",1.00461798633094
2020-07-25,"IC025",1.00459927786743
2020-07-26,"IC025",1.00453837142208
2020-07-27,"IC025",1.00445291226364
